session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Wed Jan 09 13:42:34 IST 2019;false
bfp_sn_pl;1547019754_151485584920;.guru99.com;/;Wed Jan 09 13:42:34 IST 2019;false
bafp;218ebcd0-13e2-11e9-bd27-6d7085ebb7e4;.demo.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_ga;GA1.2.1890108381.1547019752;.guru99.com;/;Fri Jan 08 13:12:33 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Wed Jan 09 13:13:32 IST 2019;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;Direct;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
bfp_sn_rt_8b2087b102c9e3e5ffed1c1478ed8b78;1547019753031;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_gid;GA1.2.881749536.1547019752;.guru99.com;/;Thu Jan 10 13:12:33 IST 2019;false
